Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
MERO - Hobby Hobby,3,,55,,9075914,19130228
Eno - Ferrari,3,,66,,8876378,19101767
Nicki Minaj - Everybody,2,,153,,9590923,19088843
Kanye West - Remote Control,2,,45,,12913533,19082486
Michael BublÃ© - Have Yourself a Merry Little Christmas,7,,49,,9533110,19076044
Ariana Grande - Let Me Love You,7,,87,,3866165,19075558
W Sound - Soltera - W Sound 01,2,,147,,10000148,19064229
Taylor Swift - I Know Places (Taylor's Version),1,,33,,19053747,19053747
Pop Smoke - Make It Rain,3,,64,,8402816,19039993
The Rudeboyz - Dile la Verdad,4,,166,,4960326,19034981
League of Legends - GODS,2,,88,,11280230,19031955
Jason Derulo - Cheyenne,10,,86,,2482603,19029108
21 Savage - all my friends,3,,83,,8706990,19026035
Nicki Minaj - Barbie Dreams,3,,48,,8941896,19020635
Drake - Can't Have Everything,3,,59,,9555988,19014525
Future - Comin Out Strong,4,,67,,6295525,19007391
N.E.R.D - Lemon,4,,92,,5984971,18971433
dj sv - Mtg ForrÃ³ e Desmantelo,2,,144,,9709174,18970996
Drake - Glow,3,,54,,9996975,18959360
CarÃ­n LeÃ³n - Ese Vato No Te Queda,2,,127,,10062994,18945460
Juice WRLD - Fighting Demons,2,,36,,12997697,18944270
Travis Scott - CIRCUS MAXIMUS,1,,33,,18943042,18943042
DMX - X Gon' Give It To Ya,6,,68,,8638360,18938537
J. Cole - The Cut Off,2,,30,,14209638,18910410
Katy Perry - Unconditionally,12,,22,,1816294,18864900
Kanye West - Ultralight Beam,5,,49,,6077545,18853724
Jack Harlow - Churchill Downs,2,,57,,11694583,18847287
Neton Vega - Nalguita y Teta,2,,174,,9453640,18840915
Eminem - Habits,1,,30,,18838907,18838907
Niack - Na Raba Toma TapÃ£o,4,,129,,5177117,18835662
The Weeknd - Wake Me Up,1,,37,,18834021,18834021
Kendrick Lamar - Black Panther,3,,47,,9589477,18815671
Mora - DONDE SE APRENDE A QUERER?,2,,74,,10892507,18804901
TOMORROW X TOGETHER - Sugar Rush Ride,2,,71,,11316092,18804589
Kanye West - 24,2,,43,,12955187,18790125
"Tyler, The Creator - LUMBERJACK",2,,43,,11756283,18733017
Logic - Contra,3,,45,,9642641,18725964
Taylor Swift - Cornelia Street,2,,35,,12625774,18724625
Taylor Swift - Call It What You Want,3,,47,,8832057,18707023
MC G15 - Deu Onda,5,,79,,5062130,18683861
Lady Gaga - Do What U Want,9,,21,,2386893,18680317
"Tyler, The Creator - SORRY NOT SORRY",2,,105,,9889909,18680068
Victor Mendivil - Orula,2,,132,,9484503,18668313
BLOK3 - KeÅke,2,,116,,10193984,18653244
KAROL G - UNA NOCHE EN MEDELLÃN - REMIX,2,,90,,10502469,18651957
Olly Murs - Up,15,,122,,1661817,18645661
Raim Laode - Bersenja Gurau,2,,177,,9435317,18644900
Victor Cibrian - En El Radio Un Cochinero,3,,148,,6329729,18626277
Kaique e Felipe - Saveiro,2,,168,,9315451,18589716
Don Toliver - Private Landing,2,,94,,9990112,18565000
MC Tairon - Baile no Morro,3,,154,,6267693,18560499
The Citizens of Halloween - This Is Halloween,2,,155,,9823051,18555465
Juice WRLD - Up Up And Away,2,,43,,12309360,18538676
Sleepy Hallow - Deep End Freestyle,3,,86,,7112796,18526973
Drake - Nothings Into Somethings,3,,60,,9538489,18490467
Ezhel - Nerdesin,3,,164,,6222771,18487032
J. Cole - BRACKETS,2,,36,,13603598,18486797
MC Kevin o Chris - Ela Ã do Tipo,4,,158,,4949308,18485844
SAIKO - BADGYAL,2,,183,,9324435,18483222
Travis Scott - SKITZO,1,,34,,18471313,18471313
Ed Sheeran - 2step,3,,131,,6270876,18468546
Taylor Swift - London Boy,2,,37,,12433654,18465057
BTS - Make It Right,2,,34,,12389441,18462064
Playboi Carti - TOXIC,1,,38,,18455055,18455055
Selena Gomez - My Mind & Me,2,,78,,11027548,18442874
Justin Timberlake - Selfish,2,,140,,9454957,18428680
Taylor Swift - Wonderland (Taylor's Version),1,,34,,18405925,18405925
TWICE - THIS IS FOR,2,,125,,10126746,18401488
KITSCHKRIEG - Unterwegs,4,,172,,4720699,18393744
Tainy - PASIEMPRE,2,,111,,9845951,18375223
Fetty Wap - RGF Island,7,,61,,3596439,18353073
Lauv - Modern Loneliness,3,,108,,6656281,18346379
Daddy Yankee - Con Calma - Remix,4,,143,,5096008,18332753
BeyoncÃ© - ENERGY,2,,34,,12233230,18328362
Sam Hunt - House Party,9,,97,,2274619,18311822
Kygo - Kids in Love,3,,61,,7677360,18300544
Lil Wayne - She Will,2,,160,,9159758,18261743
Jowell & Randy - Anaranjado,4,,174,,4575403,18255025
Ariana Grande - shut up,2,,31,,12968870,18251360
Matthew Wilder - Break My Stride,3,,120,,6596199,18233325
Oscar Maydon - Mejores Jordans,2,,163,,9425643,18224888
ZÃ© Felipe - VacilÃ£o,2,,109,,9873732,18213618
Felipe Amorim - Eu Vou na Sua Casa,2,,129,,9461613,18212117
Fetty Wap - Wake Up,8,,141,,2581636,18202756
ROSALÃA - TUYA,2,,100,,10407512,18198805
Pharrell Williams - Just A Cloud Away,3,,115,,6837424,18196376
21 Savage - Immortal,3,,62,,7793151,18191033
Ariana Grande - safety net,2,,38,,12386645,18185389
THE BOX - THE BOX MEDLEY FUNK 2,2,,194,,9115413,18175536
The Long Faces - Jane!,2,,144,,9178948,18168399
GELO - Tweaker,2,,157,,9414409,18155235
Juice WRLD - Burn,2,,56,,11890265,18146256
ITZY - Not Shy,3,,91,,7006754,18139327
Lil Wayne - Can't Be Broken,2,,29,,13276963,18132391
Bad Bunny - LA DROGA,2,,43,,12756673,18132122
KATSEYE - Gameboy,2,,137,,9141335,18129455
"Osmani Garcia ""La Voz"" - El Taxi",11,,98,,2073342,18126585
Twenty One Pilots - Jumpsuit,3,,59,,7987373,18125729
Drake - Lose You,3,,62,,9476839,18120117
Travis Scott - 5% TINT,2,,32,,12942391,18102303
James Arthur - Can I Be Him,5,,154,,3656065,18091636
"Vishal Mishra - Tum Ho Toh (From ""Saiyaara"")",2,,137,,9443707,18084594
Post Malone - I Know,2,,42,,11954473,18080220
Olivia Dean - The Hardest Part,2,,178,,9039649,18046488
Kendrick Lamar - gnx,1,,45,,18030258,18030258
La Adictiva - JGL,3,,173,,6045725,18026514
A$AP Rocky - A$AP Forever,3,,70,,7384296,18014274
Morgan Wallen - Thinkinâ Bout Me,2,,83,,10478601,18005709
Capital Bra - Prinzessa,3,,84,,7213616,17997089
Bastille - Of The Night,12,,36,,1790196,17975758
Paul Rosenberg - Paul - Skit,2,,37,,12829836,17969356
Big One - Cuando Te Vi | CROSSOVER #5,2,,168,,9202055,17949668
t.A.T.u. - All The Things She Said,2,,149,,9234607,17941876
Kanye West - Pure Souls,2,,50,,11585806,17940726
XXXTENTACION - Guardian angel,2,,26,,13124599,17934415
Soso Maness - Petrouchka,3,,112,,6766715,17931439
Henrique & Juliano - Ãltima Saudade - Ao Vivo,2,,189,,8972471,17926431
Playboi Carti - POP OUT,1,,41,,17920321,17920321
j-hope - Arson,2,,37,,11593453,17918599
Taylor Swift - hoax,2,,47,,12523531,17899475
Drake - Treacherous Twins,1,,36,,17860830,17860830
Drake - Amen,1,,29,,17856788,17856788
Starley - Call On Me - Ryan Riback Remix,3,,38,,8525262,17855369
Huncho Jack - Saint,4,,117,,5591945,17833851
XXXTENTACION - going down!,3,,55,,8440971,17832229
Romeo Santos - Dardos,2,,151,,9192253,17830282
Billie Eilish - Getting Older,2,,38,,12138476,17827966
ROSALÃA - BIZCOCHITO,3,,170,,6270155,17810961
RAF Camora - Blaues Licht,3,,94,,7084292,17794468
The Chainsmokers - Beach House,3,,75,,7469310,17776470
Miley Cyrus - Heart Of Glass (Live from the iHeart Music Festival),4,,141,,5555132,17765710
Ariana Grande - test drive,2,,38,,11158829,17750658
DJ Khaled - EVERY CHANCE I GET,3,,101,,6548643,17741524
Taylor Swift - The Story Of Us (Taylor's Version),1,,27,,17734508,17734508
Nicki Minaj - Red Ruby Da Sleeze,2,,120,,8948180,17722969
Timmy Trumpet - Freaks,15,,114,,1643516,17721351
Cazzu - Con Otra,2,,163,,9066013,17649607
Ariana Grande - Bad To You,2,,37,,10653590,17634642
DJ Gu - Reliquia do 2T,2,,167,,8848670,17633904
Rihanna - Stay,2,,95,,9874803,17632570
Wiz Khalifa - Fr Fr,4,,130,,5112027,17616586
Sofia Karlberg - Crazy in Love,9,,63,,2796002,17615924
Juice WRLD - Man Of The Year,2,,46,,11390506,17613507
Fred again.. - Victory Lap,2,,123,,9462453,17602358
The Weeknd - A Lonely Night,3,,35,,8814092,17598960
Lil Tecca - REPEAT IT,3,,128,,6147989,17597554
Ed Sheeran - One,16,,144,,1202318,17596675
Camilo - KESI - Remix,3,,100,,6823754,17582294
Matheus Fernandes - BalanÃ§o da Rede,3,,171,,6027682,17579560
Chris Brown - Pills & Automobiles,5,,173,,3725161,17576753
BTS - HOME,2,,37,,11938652,17574027
The Script - Rain,5,,159,,3801890,17562527
Peso Pluma - RARI,2,,183,,9165910,17560033
"Train - Hey, Soul Sister",2,,193,,8868833,17556488
Calum Scott - You Are The Reason,4,,152,,4677695,17549374
BeyoncÃ© - SUMMER RENAISSANCE,2,,46,,11664392,17532342
Selena Gomez - How Does It Feel To Be Forgotten,2,,163,,8976295,17518923
Post Malone - Internet,2,,44,,11850920,17518360
Taylor Swift - You Are In Love (Taylor's Version),1,,41,,17510330,17510330
Playboi Carti - K POP,1,,42,,17489185,17489185
Ricky Martin - La Mordidita,12,,156,,1664789,17485473
Fifth Harmony - That's My Girl,7,,146,,2845226,17478953
Justin Bieber - 2 Much,2,,44,,11680054,17474637
Ryan Gosling - City Of Stars,5,,134,,3852085,17456990
Trippie Redd - 1400 / 999 Freestyle,3,,79,,7393548,17432733
"Tyler, The Creator - JUGGERNAUT",2,,40,,12035752,17428086
Taylor Swift - Mean (Taylor's Version),1,,31,,17415414,17415414
Lorde - Tennis Court,13,,27,,1571947,17415084
Eminem - Leaving Heaven,2,,44,,11944780,17410941
Alesso - Heroes (we could be),5,,48,,4093426,17405115
JACKBOYS - GANG GANG,2,,36,,11484613,17383097
Natanael Cano - Blancanieves,2,,134,,9388757,17381670
A$AP Rocky - PUNK ROCKY,2,,171,,8800602,17373108
DJ Khaled - I DID IT,2,,47,,10008346,17356237
ScHoolboy Q - CHopstix,3,,99,,6728297,17355250
Billie Eilish - Billie Bossa Nova,2,,43,,11487192,17352203
Marvin Gaye - Ain't No Mountain High Enough,2,,162,,8905077,17341155
DJ Khaled - Top Off,3,,60,,7898874,17334496
Little Mix - Sweet Melody,3,,124,,6140069,17334054
Chris Brown - Party,6,,179,,3087525,17320999
Juice WRLD - Screw Juice,2,,44,,11922995,17317192
TWENTY SIX - Buscando Money,2,,177,,8854659,17313005
Junior H - A Tu Manera,2,,155,,9023916,17312483
Taylor Swift - Message In A Bottle (Taylor's Version) (From The Vault),2,,49,,11757532,17292523
Kesha - Holiday Road - Spotify Singles Holiday,1,,73,,17291341,17291341
Britney Spears - Toxic,2,,188,,9023039,17290133
Teto - Fim de Semana no Rio,3,,139,,6096179,17259739
Rick Ross - Gold Roses,3,,58,,8489195,17246564
Little Mix - Love Me Like You,9,,94,,2529303,17243180
Bing Crosby - Winter Wonderland - Remastered,2,,115,,9357429,17235741
Justin Bieber - Deserve You,2,,49,,11394773,17232145
Drake - Middle of the Ocean,1,,41,,17189488,17189488
Nicki Minaj - MEGATRON,3,,80,,7441823,17170019
Lola Indigo - EL TONTO,2,,138,,8759230,17146944
DJ Japa NK - Amo Minha Favela,2,,195,,8577282,17127147
Britney Spears - Work B**ch,13,,27,,1478405,17122542
Bob Marley & The Wailers - Could You Be Loved,2,,176,,8628041,17112836
Rammstein - Deutschland,3,,86,,7512393,17112387
Lewis Capaldi - Wish You The Best,2,,132,,9043772,17111444
Clean Bandit - Real Love,12,,116,,1675594,17109146
Metro Boomin - Hummingbird (Metro Boomin & James Blake),2,,151,,8999375,17092265
BeÃ©le - sobelove,2,,171,,8893125,17089511
Daniel Caesar - Get You,2,,198,,8732120,17086658
DJ Khaled - I Got the Keys,7,,132,,2761933,17075994
ZXKAI - NO BATIDÃO - Slowed,2,,191,,8566269,17066442
Quevedo - AHORA QUÃ,2,,86,,10060027,17057659
Lil Uzi Vert - Homecoming,2,,51,,12068329,17057168
LISA - FXCK UP THE WORLD,1,,34,,17051802,17051802
Drake - Ratchet Happy Birthday,2,,46,,12370043,17051178
Summer Walker - Girls Need Love,3,,106,,6428530,17035726
Kendrick Lamar - Purple Hearts,1,,27,,17034841,17034841
Jere Klein - TODO KE VER,2,,161,,8712101,17034791
"The Rish - Barbaad (From ""Saiyaara"")",2,,165,,8960490,17033429
Daniel Caesar - Superpowers,2,,169,,8765776,17031664
Ariana Grande - nasty,2,,42,,11773769,17023111
BTS - Filter,2,,47,,11101107,17015053
Stephanie Beatriz - Waiting On A Miracle,3,,153,,5799526,17011807
Lana Del Rey - A&W,2,,97,,9466245,16988948
Drake - 7969 Santa,1,,35,,16984145,16984145
Gambi - Popopop,3,,87,,6796759,16970642
Olivia Dean - Baby Steps,2,,175,,8569863,16948855
Boza - Orion,2,,197,,8600389,16945560
Gryffin - Whole Heart,7,,148,,2638404,16931771
NAV - Price On My Head,3,,93,,6755123,16930150
Shawn Mendes - Where Were You In The Morning?,3,,66,,7393076,16927463
ROSALÃA - CANDY,2,,44,,9850251,16923259
Cardi B - Ring,3,,77,,7213273,16914554
Juice WRLD - Can't Die,2,,49,,11121119,16898978
PinkPantheress - Just for me,3,,145,,5741226,16897571
Nicky Jam - Hiekka,2,,172,,8628245,16892740
Kygo - I'll Wait,3,,80,,7059184,16887953
"Nicki Nicole - Nicki Nicole: Bzrp Music Sessions, Vol. 13",3,,98,,6430495,16886557
Taylor Swift - Castles Crumbling,1,,33,,16886371,16886371
EsDeeKid - Century,2,,172,,8741738,16879997
XXXTENTACION - infinity (888),3,,61,,8039353,16861462
Future - I'M ON ONE,2,,48,,10740374,16860798
Rihanna - Desperado,7,,95,,2925928,16836406
Eminem - Brand New Dance,1,,40,,16835857,16835857
Lil Durk - Stand By Me,2,,144,,9127347,16821874
Gusttavo Lima - Canudinho - Ao Vivo,2,,162,,8610787,16821680
Marshmello - Alone,3,,115,,6169746,16813735
Bad Bunny - VOU 787,1,,39,,16811328,16811328
Juice WRLD - I Want It,2,,45,,11650662,16788144
Nicki Minaj - Do We Have A Problem?,2,,48,,10446446,16787475
The Weeknd - All I Know,3,,40,,7994948,16780138
Fedez - MILLE,3,,138,,5825571,16761035
Taylor Swift - Death By A Thousand Cuts,2,,42,,11318503,16758451
Astrid S - Think Before I Talk,5,,178,,3434233,16748893
BLACKPINK - You Never Know,2,,46,,11440118,16744500
One Direction - Love You Goodbye,5,,36,,6524574,16716663
Don Toliver - Had Enough,2,,39,,10967607,16715617
ScHoolboy Q - Numb Numb Juice,3,,75,,7630971,16702555
Julia Michaels - Jump,4,,146,,4485586,16687743
Travis Scott - NC-17,2,,41,,12034748,16685659
Eminem - Nice Guy,2,,44,,11342755,16672906
KAROL G - Ivonny Bonita,2,,161,,8755179,16670276
Alesso - When Iâm Gone,3,,135,,5846612,16668331
Romeo Santos - Imitadora,5,,154,,3682558,16665679
Lil Uzi Vert - I'm Sorry,2,,52,,11828199,16646238
JhenÃ© Aiko - B.S.,3,,130,,6698476,16599992
XXXTENTACION - Save Me,4,,94,,5817192,16593522
Taylor Swift - The Manuscript,1,,62,,16581599,16581599
Melanie Martinez - DEATH,2,,146,,8444351,16577103
Diego & Victor Hugo - TubarÃµes - Ao Vivo,2,,179,,8442350,16570358
JACKBOYS - WHAT TO DO?,2,,38,,10980949,16567300
Disney Characters - This Is Halloween,2,,119,,9594193,16566163
The Weeknd - Reflections Laughing,1,,47,,16562376,16562376
Thomas Rhett - Die A Happy Man,8,,100,,2421073,16552965
Playboi Carti - FINE SHIT,1,,45,,16537197,16537197
Emilia - Como Si No Importara,3,,146,,5751749,16531764
Nat King Cole - The Christmas Song (Merry Christmas To You) - Remastered 1999,5,,99,,4540102,16506727
Fuerza Regida - CRAZYZ,2,,187,,8432290,16476769
Taylor Swift - Electric Touch,1,,35,,16474250,16474250
Drake - Texts Go Green,1,,25,,16470354,16470354
Sabrina Carpenter - Alien,4,,158,,4463203,16466009
Oasis - Wonderwall,15,,154,,4902737,16452494
Post Malone - Im Gonna Be,1,,25,,16445471,16445471
Emilia - blackout ð§,2,,194,,8269243,16444795
KHEA - Loca Remix,4,,146,,4535647,16442779
Little Mix - No More Sad Songs,5,,171,,3504054,16439949
Yandel - Yankee 150,2,,164,,8347893,16426427
Drake - Fire & Desire,6,,86,,3825947,16423989
Paul Russell - Lil Boo Thang,2,,173,,8292580,16421754
Rihanna - Consideration,7,,98,,2899991,16417341
Vishal-Shekhar - Jhoome Jo Pathaan,2,,127,,8397423,16409919
Playboi Carti - RADAR,1,,46,,16406893,16406893
Cardi B - Hot Shit,2,,54,,10120988,16401755
BLACKPINK - Don't Know What To Do,3,,100,,6862431,16399412
The Kid LAROI - ALWAYS DO,3,,140,,5728140,16396665
Fetty Wap - 679,9,,118,,2114136,16349433
Future - Mask Off - Remix,3,,74,,6621223,16339123
El Alfa - PLEBADA,2,,155,,8479993,16328521
Drake - 8am in Charlotte,1,,38,,16321208,16321208
Prince Royce - El Clavo,4,,148,,4485498,16310943
Lil Uzi Vert - Prices,2,,53,,11412571,16310738
Twenty One Pilots - Nico And The Niners,3,,79,,6899889,16304306
Taylor Swift - When Emma Falls in Love (Taylorâs Version) (From The Vault),1,,37,,16282905,16282905
CÃ©line Dion - O Holy Night,1,,81,,16280689,16280689
Jason Derulo - Lifestyle,3,,128,,6127518,16235994
Eminem - Fuel,1,,44,,16228638,16228638
Roddy Ricch - Tip Toe,3,,152,,5607349,16217162
BLACKPINK - DDU-DU DDU-DU,2,,47,,9349579,16216437
Taylor Swift - happiness,1,,28,,16213589,16213589
Nicki Minaj - No Frauds,3,,62,,7656858,16202010
Post Malone - Jonestown (Interlude),2,,49,,11226977,16196878
BTS - Dionysus,2,,49,,10602014,16177886
Eminem - In Too Deep,2,,52,,11348893,16172930
Calvin Harris - Desire,2,,177,,8160016,16151553
Becky Hill - Remember,3,,162,,5524097,16113786
JHAYCO - Mami Chula,2,,173,,8057406,16103845
Bad Bunny - LOS PITS,1,,42,,16093832,16093832
Justin Bieber - Get Used To It,5,,53,,5085456,16090097
Billie Eilish - I Didn't Change My Number,2,,49,,10986947,16084070
mgk - maybe,2,,72,,8109801,16080308
The Weeknd - Attention,3,,49,,7509420,16073380
Lil Baby - Heatin Up,2,,65,,10048849,16053688
Vince Staples - Opps,3,,76,,6817930,16030339
Shubh - Supreme,2,,200,,8069858,16022024
Doja Cat - I Don't Do Drugs,2,,55,,10082487,15994780
Justin Bieber - THINGS YOU DO,1,,36,,15977731,15977731
J. Cole - a p p l y i n g . p r e s s u r e,1,,25,,15967986,15967986
J. Cole - Change,2,,25,,11446196,15966506
Quavo - PASS OUT,2,,37,,10881651,15965165
Drake - U With Me?,5,,69,,4833246,15960883
Camila Cabello - Living Proof,3,,101,,6163667,15958828
Travis Scott - WHO? WHAT!,2,,46,,11340465,15957134
Justin Bieber - We Are,5,,56,,5052626,15953678
Nardo Wick - Who Want Smoke??,3,,183,,5402707,15952423
J. Cole - Window Pain - Outro,2,,45,,11602946,15930861
Ariana Grande - my hair,2,,49,,11028985,15925506
Travis Scott - SKELETONS,2,,43,,11747130,15918390
Ariana Grande - Saturn Returns Interlude,1,,48,,15912093,15912093
Ozuna - FantasÃ­a,3,,91,,6692952,15895668
TAEYANG - Shoong!,2,,161,,8295830,15871540
Chris Brown - New Flame,13,,94,,1673577,15857850
One Direction - What a Feeling,5,,37,,6472838,15853276
Colbie Caillat - Try,13,,100,,1480152,15833078
Young Thug - Bubbly,2,,51,,9995272,15739596
Sub Urban - INFERNO,3,,192,,5359388,15727575
Hozier - Almost (Sweet Music),3,,133,,5567308,15686930
Bonez MC - Kokain,3,,91,,6492645,15681347
Noah Kahan - End of August,1,,48,,15678332,15678332
Kawe - Mds,3,,162,,5339710,15646619
Hugo & Guilherme - CoraÃ§Ã£o Na Cama,3,,181,,5251540,15599730
Anuel AA - OA,2,,194,,7889915,15593015
Peso Pluma - RUBICON,2,,180,,7990225,15584871
Taylor Swift - Robin,1,,68,,15584154,15584154
Daddy Yankee - SÃ­gueme Y Te Sigo,15,,171,,1567214,15582379
Sam Fischer - What Other People Say,3,,160,,5413003,15571498
21 Savage - Glock In My Lap,2,,53,,10620418,15568011
Drake - Yebbaâs Heartbreak,1,,37,,15567041,15567041
"Tyler, The Creator - RUNNING OUT OF TIME",2,,44,,10704742,15561690
Eminem - Em Calls Paul - Skit,2,,45,,11199609,15551002
Kanye West - FML,5,,59,,4604314,15541491
Ice Spice - In Ha Mood,2,,180,,7806140,15537632
Billie Eilish - goodbye,2,,52,,10129260,15530819
Lil Nas X - Old Town Road - Remix,2,,68,,8544359,15525284
Paulo Londra - Forever Alone,3,,149,,5342813,15523151
Slade - Merry Xmas Everybody,2,,183,,9903574,15515448
Sarah Cothran - As the World Caves In,3,,181,,5217205,15512316
Justin Bieber - Die For You,2,,57,,10167809,15491221
Travis Scott - ASTROTHUNDER,2,,47,,11169732,15486848
Hippie Sabotage - Devil Eyes,3,,182,,5238005,15486045
Lauv - Drugs & The Internet,3,,104,,6157312,15479474
Mike Perry - Inside the Lines,6,,145,,2857771,15476953
Drake - You Only Live Twice,1,,40,,15443086,15443086
Ghost Town DJs - My Boo - Hitman's Club Mix,6,,110,,2913184,15433697
Bad Bunny - ACHO PR,1,,49,,15428944,15428944
Travis Scott - LOST FOREVER,1,,44,,15411422,15411422
Adele - Make You Feel My Love,6,,114,,6671210,15409505
Summer Walker - Playing Games,3,,115,,5870206,15406864
Maite Perroni - Loca,5,,186,,3100654,15404365
RedOne - Don't You Need Somebody,7,,164,,2290946,15403752
Drake - Jumbotron Shit Poppin,1,,53,,15383701,15383701
Travis Scott - LOOOVE,1,,46,,15380647,15380647
Beat Record - Standing Next to You - Sped Up - Remix,1,,41,,15367818,15367818
BeyoncÃ© - XO,10,,34,,1914219,15343891
Udo Lindenberg - Komet,2,,155,,7859955,15339479
Dj Kass - Scooby Doo Pa Pa,3,,117,,5461917,15329711
Billie Eilish - The 30th,2,,64,,9363789,15321484
Justin Bieber - Loved By You,2,,61,,9899111,15318151
KIDS SEE GHOSTS - 4th Dimension,2,,40,,10673015,15317236
Harry Styles - Paint By Numbers,1,,45,,15315337,15315337
The Weeknd - Love To Lay,3,,48,,7511603,15304234
DJ Snake - Selfish Love,2,,56,,9265541,15286326
AYLIVA - Sie weiÃ,2,,139,,8062007,15278113
Rich Gang - Lifestyle,12,,104,,1458987,15275198
Taylor Swift - Foolish One (Taylorâs Version) (From The Vault),1,,48,,15253048,15253048
The Weeknd - Nothing Without You,3,,45,,7607452,15253033
Drake - More Mâs,1,,54,,15250027,15250027
Playboi Carti - HBA,1,,59,,15243654,15243654
"Vishal-Shekhar - Besharam Rang (From ""Pathaan"")",2,,162,,7736628,15238334
Gabriel Diniz - Jenifer,3,,106,,6196720,15225757
The Anita Kerr Singers - Jingle Bell Rock,3,,88,,6194483,15205861
Lil Pump - Drug Addicts,3,,102,,5938164,15205734
Lauv - Easy Love,4,,136,,4189508,15194738
Tungevaag - Samsara 2015,11,,105,,1804794,15189671
J. Cole - 1 0 0 . m i l â,1,,30,,15171655,15171655
PARTYNEXTDOOR - CN TOWER,1,,55,,15166787,15166787
Morgan Wallen - Thought You Should Know,2,,123,,8135094,15166077
Nicki Minaj - Seeing Green,2,,67,,8866047,15165983
Â¥$ - PAID,1,,51,,15158082,15158082
KAROL G - Follow,3,,128,,5447151,15149634
BTS - My Time,2,,58,,9934338,15146391
AFROJACK - SummerThing!,10,,114,,1918482,15127973
Russ - What They Want,6,,152,,2755600,15123744
KIDS SEE GHOSTS - Feel The Love,2,,39,,10791284,15110834
BTS - Jamais Vu,2,,51,,10441199,15110180
J. Cole - For Whom The Bell Tolls,2,,26,,11244979,15103170
Train - Shake up Christmas,2,,164,,8849436,15057131
Sido - 2002,3,,112,,5949733,15034086
Playboi Carti - WAKE UP F1LTHY,1,,65,,15021230,15021230
Sigala - Give Me Your Love,7,,175,,2264937,15002047
Miguel - Sure Thing - Sped Up,2,,190,,7524607,14988958
Paulo Londra - A Veces,2,,127,,8221691,14979949
Maluma - ADMV,3,,152,,5183312,14962473
Drake - Final Fantasy,2,,55,,10460366,14951150
SZA - SOS,1,,56,,14944982,14944982
David Guetta - What I Did for Love,11,,117,,1748972,14934853
Nicki Minaj - Barbie Tingz,2,,45,,9712770,14902272
Kane Brown - What Ifs,4,,146,,4028775,14896115
Alessia Cara - Out Of Love,3,,152,,5029681,14894640
Drake - March 14,2,,54,,10659186,14876145
Roddy Ricch - Start Wit Me,3,,182,,5129252,14872778
Eminem - Trouble,1,,52,,14866438,14866438
Fall Out Boy - The Last Of The Real Ones,4,,143,,4068904,14861124
Noah Kahan - American Cars,1,,50,,14852290,14852290
Megan Thee Stallion - Cry Baby,3,,174,,5046852,14842473
Taylor Swift - Afterglow,2,,50,,9957578,14836821
The Beatles - Now And Then,1,,37,,14834522,14834522
Taylor Swift - Haunted (Taylor's Version),1,,52,,14830989,14830989
Juice WRLD - Empty,2,,59,,9182246,14825942
The Weeknd - Ordinary Life,3,,55,,6907408,14808391
Eminem - Evil,1,,53,,14804135,14804135
Charli xcx - Sympathy is a knife featuring ariana grande,1,,50,,14799789,14799789
Drake - A Keeper,1,,28,,14798148,14798148
BeyoncÃ© - LEVII'S JEANS,1,,48,,14790840,14790840
Ariana Grande - R.E.M,2,,45,,9833151,14786362
Ariana Grande - ordinary things,1,,50,,14784408,14784408
Otto Knows - Dying for You,8,,163,,1941014,14783665
Noah Kahan - Dashboard,1,,52,,14745137,14745137
Travis Scott - HOUSTONFORNICATION,2,,52,,10300311,14741926
Michael BublÃ© - Cold December Night,5,,131,,5632418,14730776
Drake - Demons,2,,49,,9935989,14702818
Boney M. - Mary's Boy Child / Oh My Lord,4,,175,,5781047,14702118
Ariana Grande - obvious,2,,59,,9836943,14702027
J. Cole - 7 Minute Drill,1,,44,,14687368,14687368
Taylor Swift - Long Live (Taylor's Version),1,,53,,14674875,14674875
C. Tangana - No Te DebÃ­ Besar,3,,150,,5238187,14670135
Justin Bieber - BUTTERFLIES,1,,47,,14667263,14667263
Justin Bieber - WAY IT IS,1,,48,,14666921,14666921
6ix9ine - GOTTI,3,,124,,5475883,14657835
Charlie Puth - I Warned Myself,3,,156,,5316743,14632075
Adele - Woman Like Me,1,,33,,14631993,14631993
UZI - ARASAN DA,2,,65,,8344402,14628830
Milky Chance - Cocoon,5,,165,,3050170,14608663
Camila Cabello - Cry for Me,2,,57,,8248479,14597392
Capital Bra - Neymar,3,,122,,5484425,14596587
BeyoncÃ© - AMERIICAN REQUIEM,1,,50,,14595101,14595101
Sia - Helium,4,,138,,4013649,14553531
Future - Ice Attack,1,,54,,14523053,14523053
KAROL G - Punto G,3,,136,,5417168,14520988
Taylor Swift - ivy,1,,34,,14519547,14519547
Lil Baby - Emotionally Scarred,3,,142,,5120295,14506093
James Arthur - Empty Space,3,,144,,5072633,14496255
YBN Nahmir - Rubbin Off The Paint,4,,173,,3983619,14479494
Drake - Bahamas Promises,1,,47,,14415358,14415358
Taylor Swift - dorothea,1,,38,,14392788,14392788
Taylor Swift - coney island,1,,39,,14385703,14385703
Khalid - Don't Pretend,2,,60,,9519434,14375957
Gorillaz - New Gold,2,,87,,8443122,14365799
J. Cole - She's Mine Pt. 1,2,,29,,10553761,14347606
Young Thug - Sin,3,,138,,5310991,14344950
